"author","comment","type","voteCount","replyCount","publishedTimeText","hasCreatorHeart","authorIsChannelOwner","title","pageUrl"
"@achmadtaufik4353","Yaa Alloh berikan ibu Ida royani d berikan umur pajang dan rezqi yg banyak serta bisa dlm lindungan Allah sampai Khusnul khotimah...aamiin.","comment","15","5","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@auliahamzah-q9g","Gua pernah lihat Ida Royani pada THN 70an di alun alun Bandung. Saat itu dia masih hidup normal, cantik, tidak TERSESAT","comment","0","0","3 days ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@SuryaniSuryani-n9f","Asyik juga mbak Ida ini salut dech❤❤❤","comment","0","0","1 month ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@candraarisman3876","Bu Ida Royani waktu muda cantik banget ❤❤❤❤","comment","0","0","1 month ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@nalendraputra-jj6cv","LDII ❤️❤️❤️., sehat selalu semua saudaraku LDII dimanapun","comment","0","0","3 weeks ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@meniksapta2018","Terserah Bu... kelak semua bertanggung jawab atas perbuatannya sendiri","comment","1","0","2 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@dkwh.muslim","Saya juga bangga jadi warga negara indonesia,","comment","6","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@SutianiSutiani-i6t","Semoga lancar dan barokah","comment","5","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@basukinasrullah9399","Mantabbb.. smg lancar barokah","comment","5","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@PonijoYulianto","Kereeen","comment","0","0","7 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@suhaemikasim157","Sehat tetap Ibadah y ibuk artis","comment","3","0","1 year ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
"@SOPYANSOPYAN-oi7rd","Lancar barokah","comment","0","0","6 months ago","false","false","IDA ROYANI : ""GUE BANGGA LDII""...KENAPA TAKUT ? #shortsfeed #shortsvideo #short #idaroyani","https://www.youtube.com/shorts/sokJ7MwP_q4"
